Comercial,Primeira_veiculacao,Ultima_veiculacao,Total_veiculacoes,Vida_util_dias
AP DEPENDENTES QUIMICOS 070224,1.0,47.0,19,46.0
PLE MARIO MOTTA MAUS TRATOS ANIMAIS 05022026,0.0,46.0,20,46.0
OD VICENTE CAROPRESO DIAGNÓSTICO TARDIO AUTISMO 11062024,1.0,41.0,9,40.0
COM JUSTIÇA BOLETIM MÉDICO 14052025,2.0,41.0,31,39.0
CHAMADA ALESC ITINERANTE CHAPECÓ 22112024,0.0,37.0,236,37.0
EVENTO FLM FÓRUM COMBATE AGROTÓXICOS 220324,0.0,35.0,29,35.0
OD GUTZ E ALTAIR LEITE IMPORTADO 17122025,1.0,36.0,21,35.0
INFORMATIVO TIAGOZILLI LIMITES MUNICIPAIS 05122025,0.0,35.0,38,35.0
PROTEÇÃO_DOS_ANIMAIS_111023,2.0,37.0,19,35.0
OD MARQUITO COZINHAS COMUNITÁRIAS 18122024,1.0,34.0,8,33.0
CARTILHA BULLYING AUTISTA 270224,1.0,30.0,17,29.0
OD SARGENTO LIMA CLASSIFICAÇÃO TABACO 05022026,0.0,29.0,25,29.0
COM JUSTIÇA TECNICA VÍTIMAS ENGASGO 12112024,1.0,30.0,2,29.0
AP FLORIANÓPOLIS PRESTAÇÃO DE CONTAS SAÚDE  23092025,1.0,29.0,31,28.0
OD ALTAIR SILVA RASPAS DE ESCAPE 16122025,0.0,28.0,21,28.0
INFORMATIVO CONCURSO ALESC 180324,1.0,29.0,8,28.0
INFORMATIVO BALANCO 2025 17122025,1.0,28.0,22,27.0
ESPECIAL FRIO 28052025_v3,1.0,27.0,26,26.0
PLE NAPOLEÃO BERNARDES VÍCIO EM APOSTAS 22102024,1.0,27.0,9,26.0
INFORMATIVO DESPEDIDA NADAL 19122024,1.0,26.0,10,25.0
OD SERGIO MOTTA INCLUSÃO CONCURSOS 18072025_mixdown,3.0,27.0,44,24.0
INFORMATIVO JULIO GARCIA PRESIDENTE 01022025,2.0,24.0,13,22.0
ESPECIAL BETS 16062025,1.0,23.0,20,22.0
OD MARQUITO GESTÃO RESÍDUOS SÓLIDOS 18122024,1.0,22.0,3,21.0
INFORMATIVO ENCERRAMENTO 2024 19122024,1.0,22.0,11,21.0
INFORMATIVO LEI CICLISTAS 02022026,1.0,21.0,25,20.0
COM SAÚDE TERAPIA ASISITDA POR ANIMAIS 04062025,1.0,21.0,2,20.0
OD OSCAR GUTZ PROGRAMA VIDA EM MOVIMENTO 25022025,0.0,20.0,28,20.0
FÓRUM MULHER EMPREENDEDORA CORREÇÃO 040324,1.0,21.0,4,20.0
OD PEPE COLAÇO EXAMES FARMÁCIAS 02072024,1.0,20.0,23,19.0
OD RODRIGO MINOTTO VAGAS ESTÁGIO 02072024,1.0,20.0,6,19.0
OD JESSE LOPES MULTAS USO ENTORPECENTES 02072024,1.0,20.0,32,19.0
OD PADRE PEDRO BOLETIM MÉDICO DIÁRIO 11062025,1.0,19.0,36,18.0
COM JUSTIÇA MATRÍCULA IRMÃOS 09092025,3.0,21.0,25,18.0
AP FPOLIS NOVAS LINHAS FERROVIÁRIAS 230524,1.0,18.0,21,17.0
COM TURISMO ROTA TURÍSTCA RELIGIOSA 17072025,11.0,28.0,38,17.0
PLE JAIR MIOTTO EROTIZAÇÃO INFANTIL 12082025,0.0,17.0,20,17.0
COM JUSTIÇA PROTEÇÃO CONSUMIDOR 050324,1.0,18.0,29,17.0
VETO_TETO_IPVA-130623,1.0,17.0,116,16.0
OD OSCAR GUTZ LEITOS UTI PRIVADOS 04022026,0.0,16.0,17,16.0
FILHOS_MENORES_DE_14_290124,0.0,16.0,33,16.0
COM AGRICULTURA TARIFAÇO EUA 07102025,1.0,17.0,13,16.0
OD SERGIO GUIMARÃES  TESTE DO OLHINHO 30102024,0.0,16.0,37,16.0
30_IPVA-060723,0.0,16.0,145,16.0
OD DELEGADO EGÍDIO APROVEITAMENTO ARMAS  OPERAÇÕES 17122024,1.0,16.0,4,15.0
MOÇÃO SGTO LIMA PMS JVILLE  20062024,4.0,19.0,3,15.0
INFORMATIVO ALESC SUSTENTÁVEL 18092024,2.0,17.0,5,15.0
OD MARCIUS MACHADO MULTA LIXO NA RUA 01042025,1.0,16.0,33,15.0
OD CARLOS HUMBERTO FARMACIAS 29102025,0.0,15.0,33,15.0
COM FINANÇAS VIDEOMONIOTORAMENTO SALAS DE AULA 06082025,0.0,15.0,36,15.0
