Municipio_IBGE,Populacao,Cidade_norm,tem_cobertura
São José,253705,sao jose,False
Palhoça,178679,palhoca,False
Camboriú,87179,camboriu,False
Navegantes,85734,navegantes,False
Biguaçu,70471,biguacu,False
Içara,58055,icara,False
Guaramirim,46757,guaramirim,False
Araquari,40890,araquari,False
Penha,34022,penha,False
Capivari de Baixo,25477,capivari de baixo,False
Guabiruba,24922,guabiruba,False
Santo Amaro da Imperatriz,23907,santo amaro da imperatriz,False
Schroeder,22605,schroeder,False
Itapoá,21766,itapoa,False
Bombinhas,20889,bombinhas,False
