Comercial,Veiculacoes_tardias,Max_dias,Tipo
AP DEPENDENTES QUIMICOS 070224,1,47.0,Audiência Pública
PLE MARIO MOTTA MAUS TRATOS ANIMAIS 05022026,6,46.0,Plenário
COM JUSTIÇA BOLETIM MÉDICO 14052025,1,41.0,Comissão
OD VICENTE CAROPRESO DIAGNÓSTICO TARDIO AUTISMO 11062024,1,41.0,Ordem do Dia
CHAMADA ALESC ITINERANTE CHAPECÓ 22112024,1,37.0,Institucional
PROTEÇÃO_DOS_ANIMAIS_111023,1,37.0,Outros
OD GUTZ E ALTAIR LEITE IMPORTADO 17122025,1,36.0,Ordem do Dia
AP_FERRYBOAT_120723,1,36.0,Audiência Pública
EVENTO FLM FÓRUM COMBATE AGROTÓXICOS 220324,8,35.0,Evento
INFORMATIVO TIAGOZILLI LIMITES MUNICIPAIS 05122025,1,35.0,Legislação
OD MARQUITO COZINHAS COMUNITÁRIAS 18122024,1,34.0,Ordem do Dia
EVENTO PAULO LOPES SEMINÁRIO VEREADOR MIRIM 030424,1,34.0,Evento
FRENTE_PARLAMENTAR_AUTISMO-140523,3,33.0,Frentes e Bancadas
PLE VICENTE CAROPRESO DIA MUNDIAL AUTISMO 020324,4,33.0,Plenário
EVENTO STO AMARO DA IMPERATRIZ FORUM EMPREENDEDORISMO 150224,1,32.0,Evento
PLE SERGIO GUIMARÃES LAUDOS DEFICIÊNCIA PERMANENCE 190224,1,32.0,Plenário
EVENTO FLN SEMINÁRIO SANEAMENTO 060224,1,31.0,Evento
